県,学校コード,学校名,学科,募集人員,出願者数,倍率,区分,公表日,出典URL,確認日,前年度倍率,前年度差
千葉県,D112210001216,千葉県立松戸向陽高等学校,普通科,160,182,1.14,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.14,0
千葉県,D112210001216,千葉県立松戸向陽高等学校,福祉教養科,40,40,1,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.05,-0.05
千葉県,D112210000477,千葉県立松戸馬橋高等学校,普通科,320,361,1.13,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.22,-0.09
千葉県,D112210000690,千葉県立東葛飾高等学校,普通科,240,437,1.82,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,2.05,-0.23
千葉県,D112210000707,千葉県立柏高等学校,普通科,280,337,1.2,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.27,-0.07
千葉県,D112210000707,千葉県立柏高等学校,理数科,40,53,1.33,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.13,0.2
千葉県,D112210000716,千葉県立柏南高等学校,普通科,360,531,1.48,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.54,-0.06
千葉県,D112210000725,千葉県立柏陵高等学校,普通科,320,362,1.13,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.17,-0.04
千葉県,D112210000743,千葉県立柏の葉高等学校,普通科,280,370,1.32,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.41,-0.09
千葉県,D112210000743,千葉県立柏の葉高等学校,情報理数科,40,49,1.23,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.45,-0.22
千葉県,D112210000734,千葉県立柏中央高等学校,普通科,320,351,1.1,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.35,-0.25
千葉県,D112210001001,千葉県立沼南高等学校,普通科,80,33,0.41,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.34,0.07
千葉県,D112210001010,千葉県立沼南高柳高等学校,普通科,160,141,0.88,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.06,-0.18
千葉県,D112210000805,千葉県立流山高等学校,園芸科,120,139,1.16,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.9,0.26
千葉県,D112210000805,千葉県立流山高等学校,商業科・情報処理科,80,81,1.01,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.19,-0.18
千葉県,D112210000832,千葉県立流山おおたかの森高等学校,普通科,320,381,1.19,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.34,-0.15
千葉県,D112210000832,千葉県立流山おおたかの森高等学校,国際コミュニケーション科,40,43,1.08,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.1,-0.02
千葉県,D112210000814,千葉県立流山南高等学校,普通科,280,282,1.01,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.97,0.04
千葉県,D112210000823,千葉県立流山北高等学校,普通科,200,127,0.64,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.82,-0.18
千葉県,D112210000495,千葉県立野田中央高等学校,普通科,280,232,0.83,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1,-0.17
千葉県,D112210000486,千葉県立清水高等学校,食品科学科,40,39,0.98,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.95,0.03
千葉県,D112210000486,千葉県立清水高等学校,機械科・電気科・環境化学科,120,115,0.96,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.78,0.18
